Date,Open,High,Low,Close,Adj Close,Volume
2012-10-02,7680.000000,7760.000000,7650.000000,7650.000000,7354.826172,6120
2012-10-04,7650.000000,7700.000000,7630.000000,7650.000000,7354.826172,5209
2012-10-05,7650.000000,7680.000000,7640.000000,7680.000000,7383.668945,8440
2012-10-08,7690.000000,7730.000000,7690.000000,7730.000000,7431.739746,10480
2012-10-09,7700.000000,7740.000000,7650.000000,7740.000000,7441.354004,8461
2012-10-10,7680.000000,7710.000000,7640.000000,7710.000000,7412.511230,3090
2012-10-11,7680.000000,7710.000000,7670.000000,7700.000000,7402.897461,3040
2012-10-12,7660.000000,7680.000000,7600.000000,7680.000000,7383.668945,7989
2012-10-15,7630.000000,7680.000000,7590.000000,7600.000000,7306.755859,8395
2012-10-16,7570.000000,7640.000000,7510.000000,7600.000000,7306.755859,6200
2012-10-17,7620.000000,7630.000000,7570.000000,7620.000000,7325.983887,8351
2012-10-18,7620.000000,7620.000000,7510.000000,7570.000000,7277.913574,7620
2012-10-19,7570.000000,7570.000000,7480.000000,7480.000000,7191.385742,7143
2012-10-22,7450.000000,7480.000000,7360.000000,7420.000000,7133.700684,4930
2012-10-23,7420.000000,7550.000000,7410.000000,7520.000000,7229.842773,3621
2012-10-24,7520.000000,7520.000000,7460.000000,7500.000000,7210.613770,798
2012-10-25,7500.000000,7500.000000,7430.000000,7480.000000,7191.385742,900
2012-10-26,7430.000000,7450.000000,7360.000000,7360.000000,7076.015625,4972
2012-10-29,7350.000000,7370.000000,7250.000000,7290.000000,7008.717285,6515
2012-10-30,7290.000000,7390.000000,7260.000000,7320.000000,7037.560059,1460
2012-10-31,7300.000000,7430.000000,7300.000000,7430.000000,7143.315430,8010
2012-11-01,7470.000000,7470.000000,7270.000000,7400.000000,7114.472168,6060
2012-11-02,7430.000000,7500.000000,7350.000000,7500.000000,7210.613770,2370
2012-11-05,7450.000000,7500.000000,7450.000000,7480.000000,7191.385742,7010
2012-11-06,7500.000000,7500.000000,7310.000000,7380.000000,7095.244141,7680
2012-11-07,7390.000000,7400.000000,7330.000000,7400.000000,7114.472168,5611
2012-11-08,7350.000000,7380.000000,7270.000000,7380.000000,7095.244141,2092
2012-11-09,7380.000000,7430.000000,7290.000000,7410.000000,7124.086426,1920
2012-11-12,7360.000000,7380.000000,7290.000000,7380.000000,7095.244141,1230
2012-11-13,7250.000000,7310.000000,7250.000000,7300.000000,7018.331055,9461
2012-11-14,7320.000000,7320.000000,7200.000000,7300.000000,7018.331055,12950
2012-11-15,7200.000000,7300.000000,7200.000000,7290.000000,7008.717285,22780
2012-11-16,7260.000000,7410.000000,7260.000000,7280.000000,6999.103027,4711
2012-11-19,7280.000000,7280.000000,7250.000000,7280.000000,6999.103027,11410
2012-11-20,7280.000000,7350.000000,7280.000000,7290.000000,7008.717285,23490
2012-11-21,7300.000000,7340.000000,7300.000000,7310.000000,7027.945313,10081
2012-11-22,7360.000000,7360.000000,7260.000000,7300.000000,7018.331055,4720
2012-11-23,7300.000000,7300.000000,7270.000000,7300.000000,7018.331055,1230
2012-11-26,7280.000000,7320.000000,7260.000000,7290.000000,7008.717285,5080
2012-11-27,7310.000000,7390.000000,7300.000000,7300.000000,7018.331055,6330
2012-11-28,7340.000000,7380.000000,7290.000000,7320.000000,7037.560059,1801
2012-11-29,7320.000000,7320.000000,7280.000000,7300.000000,7018.331055,10670
2012-11-30,7300.000000,7300.000000,7280.000000,7300.000000,7018.331055,2594
2012-12-03,7310.000000,7320.000000,7240.000000,7280.000000,6999.103027,6919
2012-12-04,7300.000000,7300.000000,7260.000000,7280.000000,6999.103027,2490
2012-12-05,7280.000000,7290.000000,7200.000000,7200.000000,6922.189453,5620
2012-12-06,7220.000000,7250.000000,7200.000000,7200.000000,6922.189453,5040
2012-12-07,7200.000000,7200.000000,7150.000000,7200.000000,6922.189453,6362
2012-12-10,7190.000000,7210.000000,7150.000000,7170.000000,6893.347168,7806
2012-12-11,7150.000000,7200.000000,7100.000000,7190.000000,6912.575195,7860
2012-12-12,7150.000000,7200.000000,7140.000000,7190.000000,6912.575195,3320
2012-12-13,7150.000000,7200.000000,7100.000000,7190.000000,6912.575195,4664
2012-12-14,7160.000000,7190.000000,7150.000000,7190.000000,6912.575195,1374
2012-12-17,7160.000000,7190.000000,7100.000000,7150.000000,6874.118652,3821
2012-12-18,7150.000000,7190.000000,7090.000000,7150.000000,6874.118652,2886
2012-12-20,7150.000000,7160.000000,7050.000000,7150.000000,6874.118652,6421
2012-12-21,7150.000000,7170.000000,7110.000000,7160.000000,6883.732910,2260
2012-12-24,7150.000000,7170.000000,7130.000000,7170.000000,6893.347168,2010
2012-12-26,7170.000000,7200.000000,7090.000000,7180.000000,6902.961426,6381
2012-12-27,7180.000000,7180.000000,7150.000000,7170.000000,6951.437500,1601
2012-12-28,7150.000000,7210.000000,7150.000000,7210.000000,6990.217285,2450
2013-01-02,7210.000000,7210.000000,7170.000000,7200.000000,6980.522949,3120
2013-01-03,7200.000000,7230.000000,7160.000000,7200.000000,6980.522949,5460
2013-01-04,7200.000000,7210.000000,7150.000000,7200.000000,6980.522949,5340
2013-01-07,7180.000000,7250.000000,7180.000000,7230.000000,7009.608398,7300
2013-01-08,7180.000000,7230.000000,7160.000000,7200.000000,6980.522949,5185
2013-01-09,7150.000000,7200.000000,7130.000000,7200.000000,6980.522949,7180
2013-01-10,7190.000000,7190.000000,7170.000000,7180.000000,6961.132813,1161
2013-01-11,7180.000000,7210.000000,7160.000000,7210.000000,6990.217285,4261
2013-01-14,7230.000000,7230.000000,7120.000000,7170.000000,6951.437500,3260
2013-01-15,7170.000000,7180.000000,7120.000000,7170.000000,6951.437500,8060
2013-01-16,7180.000000,7180.000000,7120.000000,7150.000000,6932.046875,2980
2013-01-17,7150.000000,7150.000000,7110.000000,7150.000000,6932.046875,2120
2013-01-18,7120.000000,7150.000000,7100.000000,7150.000000,6932.046875,2520
2013-01-21,7120.000000,7180.000000,7110.000000,7160.000000,6941.742188,2274
2013-01-22,7160.000000,7160.000000,7100.000000,7150.000000,6932.046875,1616
2013-01-23,7120.000000,7150.000000,7120.000000,7140.000000,6922.351563,1660
2013-01-24,7130.000000,7130.000000,7050.000000,7100.000000,6883.570801,4951
2013-01-25,7100.000000,7120.000000,7070.000000,7110.000000,6893.266602,5910
2013-01-28,7050.000000,7100.000000,7050.000000,7100.000000,6883.570801,4810
2013-01-29,7050.000000,7100.000000,7020.000000,7050.000000,6835.095215,4111
2013-01-30,7050.000000,7060.000000,7000.000000,7040.000000,6825.400391,5855
2013-01-31,7040.000000,7080.000000,7000.000000,7080.000000,6864.180664,2740
2013-02-01,7060.000000,7070.000000,7010.000000,7070.000000,6854.485840,5206
2013-02-04,7150.000000,7150.000000,7060.000000,7100.000000,6883.570801,680
2013-02-05,7100.000000,7100.000000,7020.000000,7040.000000,6825.400391,4124
2013-02-06,7010.000000,7060.000000,7010.000000,7050.000000,6835.095215,2565
2013-02-07,7050.000000,7090.000000,7040.000000,7090.000000,6873.875977,664
2013-02-08,7090.000000,7140.000000,7080.000000,7140.000000,6922.351563,4480
2013-02-12,7140.000000,7150.000000,7100.000000,7130.000000,6912.656738,1050
